6, 1156
5, 1275
7, 1275
4, 1322
8, 1322
3, 1449
9, 1449
2, 1585
0, 1585
1, 1654
1, 1625
0, 1728
0, 1727
2, 1734
9, 1805
1, 1804
3, 1868
9, 1861
2, 1861
8, 1862
4, 1929
8, 1922
7, 1982
3, 1981
5, 1988
7, 1981
6, 2045
4, 2044
6, 2044
2, 2059
5, 2098
3, 2137
1, 2137
0, 2267
4, 2267
5, 2330
9, 2330
6, 2403
8, 2403
7, 2516
4, 2745
7, 2745
3, 2812
5, 2812
6, 2812
8, 2812
6, 2852
2, 2853
9, 2901
5, 2900
7, 2900
1, 2901
0, 2947
4, 2946
8, 3009
0, 3009
1, 3009
3, 3009
9, 3108
2, 3162
2, 3706
3, 3801
1, 3801
4, 3938
0, 3938
9, 3994
5, 3994
8, 4085
6, 4085
6, 4075
7, 4154
7, 4144
5, 4144
8, 4262
4, 4262
9, 4392
3, 4392
5, 4361
0, 4433
2, 4433
6, 4402
4, 4402
1, 4486
7, 4520
3, 4520
8, 4577
2, 4577
1, 4642
9, 4642
0, 4792
8, 5696
9, 5751
7, 5751
0, 5819
6, 5819
5, 5932
1, 5932
4, 6055
2, 6055
3, 6099
4, 6251
5, 6367
3, 6367
6, 6436
2, 6436
6, 6480
7, 6603
1, 6603
5, 6601
7, 6601
8, 6659
0, 6659
4, 6657
8, 6657
9, 6754
3, 6752
9, 6752
2, 6877
0, 6877
0, 6941
1, 7012
4, 7001
1, 7062
9, 7062
5, 7123
3, 7123
2, 7124
8, 7124
6, 7187
2, 7187
3, 7241
7, 7242
7, 7292
1, 7292
4, 7292
6, 7292
8, 7366
0, 7366
5, 7437
9, 7509
3, 7636
2, 7706
4, 7706
1, 7829
5, 7829
6, 7893
0, 7893
4, 7990
7, 7998
9, 7998
1, 8040
5, 8120
3, 8120
8, 8129
0, 8171
2, 8171
6, 8171
2, 8170
7, 8218
9, 8309
3, 8308
7, 8274
1, 8308
8, 8334
6, 8330
8, 8331
4, 8365
8, 8330
0, 8364
4, 8328
9, 8391
5, 8390
7, 8440
5, 8440
9, 8440
3, 8436
5, 8436
0, 8516
4, 8514
6, 8516
2, 8592
6, 8592
1, 8661
3, 8657
1, 8657
7, 8657
2, 8730
0, 8785
8, 8785
9, 8847
4, 9648
5, 9721
3, 9721
2, 9841
6, 9841
3, 9895
1, 9902
7, 9902
4, 9898
2, 9895
0, 9903
8, 9903
5, 9895
1, 9895
9, 9903
6, 9895
0, 9896
7, 9895
9, 9896
8, 9944
0, 9922
1, 9921
9, 9922
0, 9922
2, 9921
8, 9922
1, 9921
9, 9922
3, 9921
7, 9921
2, 9921
8, 9922
4, 9917
6, 9921
7, 9921
3, 9921
5, 9921
6, 9921
4, 9917
5, 9921
3, 9914
4, 9886
2, 9886
5, 9886
1, 9886
6, 9886
0, 9922
7, 9886
9, 9922
8, 9922
5, 9914
3, 9957
4, 9911
6, 9911
4, 9911
2, 9911
7, 9911
3, 9911
5, 9911
1, 9911
2, 9911
8, 9921
0, 9921
6, 9911
9, 9921
1, 9953
9, 9921
7, 9953
0, 9921
8, 9921
8, 9921
2, 9943
7, 9944
9, 9921
3, 9943
1, 9943
6, 9944
0, 9921
4, 9876
0, 9920
5, 9877
1, 9876
5, 9876
9, 9920
4, 9876
2, 9876
6, 9876
8, 9920
3, 9925
7, 9925
0, 9918
1, 9923
9, 9918
7, 9923
2, 9923
8, 9918
6, 9923
8, 9918
3, 9923
7, 9923
5, 9923
9, 9918
4, 9923
6, 9923
4, 9923
