1, 0
2, 0
3, 0
4, 96
5, 0
6, 94
7, 0
8, 0
9, 91
10, 0
11, 0
12, 88
13, 0
14, 86
15, 0
16, 0
17, 83
18, 0
19, 0
20, 80
21, 0
22, 78
23, 77
24, 0
25, 0
26, 74
27, 0
28, 72
29, 0
30, 0
31, 69
32, 0
33, 0
34, 66
35, 0
36, 64
37, 0
38, 0
39, 61
40, 0
41, 0
42, 0
43, 57
44, 56
45, 55
46, 0
47, 53
48, 0
49, 51
50, 0
51, 0
52, 48
53, 0
54, 0
55, 45
56, 0
57, 43
58, 0
59, 0
60, 40
61, 0
62, 0
63, 37
64, 0
65, 35
66, 0
67, 0
68, 32
69, 0
70, 30
71, 0
72, 0
73, 27
74, 0
75, 0
76, 24
77, 0
78, 0
79, 21
80, 0
81, 19
82, 0
83, 0
84, 16
85, 0
86, 14
87, 0
88, 0
89, 11
90, 0
91, 0
92, 8
93, 0
94, 0
95, 5
96, 4
97, 0
98, 0
99, 1
